feature,split_importance,gain_importance
min_dist_od_to_epicenter_m,404,15802.24
dist_origin_to_epicenter_m,413,1491.12
origin_in_hazard_zone,117,668.05
origin_y,363,603.53
hazard_intersects_od_segment,19,346.2
dist_dest_to_epicenter_m,76,345.36
h3_origin_node_density_res9,368,293.54
disruption_radius_m,161,265.99
orig_avg_edge_length,166,93.05
origin_x,178,78.56
dest_in_hazard_zone,14,73.5
origin_degree,124,54.56
origin_street_count,131,32.37
epicenter_to_od_line_dist_m,97,28.19
excess_dist_via_epicenter_m,45,23.66
h3_origin_node_density_res8,103,22.61
bearing_deg,96,21.14
delta_x_m,31,20.11
delta_y_m,53,7.29
origin_in_degree,18,3.12
origin_out_degree,14,2.37
network_circuity,52,1.95
h3_dest_node_density_res8,17,1.72
orig_path_hops,20,1.62
euclidean_distance_m,18,1.58
original_distance_m,19,1.11
destination_y,30,1.07
destination_x,27,0.92
max_dist_od_to_epicenter_m,4,0.46
h3_dest_node_density_res9,31,0.24
facility_snap_distance_m,1,0.02
facility_is_hospital,0,0.0
destination_out_degree,0,0.0
destination_in_degree,1,0.0
destination_degree,0,0.0
destination_street_count,0,0.0
